EraOneHolding,developer,Москва,sale,flat,8,2,121.8,141031579.0,Арбат, Арбат,24,Смоленская,Turandot Residences
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,19,2,45.8,32000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь
Авеню-Мск,real_estate_agent,Москва,sale,flat,14,1,43.5,12000000.0,Марьино, Перерва,26К2,Марьино,
Киноцентр,developer,Москва,sale,flat,20,2,45.2,42036000.0,Пресненский, Красная Пресня,3,Краснопресненская,SkyView
КОРТРОС,developer,Москва,sale,flat,51,2,45.9,25153200.0,Пресненский,Шелепихинское шоссе,,Шелепиха,Headliner
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,2,49.0,64000000.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Tekta Group,developer,Москва,sale,flat,27,2,40.5,25037100.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Whitewill,real_estate_agent,Москва,sale,flat,14,2,77.0,62000000.0,Раменки,проспект Генерала Дорохова,39к1Г,Минская,Собрание клубных домов West Garden
Sminex,developer,Москва,sale,flat,6,2,207.3,582330000.0,Хамовники,3-й Обыденский переулок,1С1,Кропоткинская,Клубный дом Обыденский № 1
ID 85604823,unknown,Москва,sale,flat,41,2,50.0,34000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Основа,developer,Москва,sale,flat,29,2,62.3,26038421.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
Whitewill,real_estate_agent,Москва,sale,flat,24,2,57.4,37480000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
Основа,developer,Москва,sale,flat,19,2,52.9,47610000.0,Красносельский,проспект Академика Сахарова,7,Красные ворота,RED7
Kalinka Group,real_estate_agent,Москва,sale,flat,9,2,148.5,189000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Группа Родина,developer,Москва,sale,flat,23,2,61.0,31127000.0,Ростокино,,к6,Ботанический сад,Союз ЖК
Игорь Гребенцов,realtor,Москва,sale,flat,37,2,51.8,29000000.0,Очаково-Матвеевское,,к5,Аминьевская,Левел Мичуринский ЖК
Аеон-Девелопмент,developer,Москва,sale,flat,46,2,63.8,44757291.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
Romanov Estate,real_estate_agent,Москва,sale,flat,45,1,64.0,40999999.0,Дорогомилово,Кутузовский проезд,16А/1,Шелепиха,River Park Кутузовский
Capital Group,developer,Москва,sale,flat,18,2,45.8,56907301.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,9,2,64.2,77000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
